search URL:,https://patents.google.com/?q=TAC%253d%28%28%E2%80%9Ccarbon+capture%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Acapture%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Atrap%2A%E2%80%9D+OR+%E2%80%9CCO2+capture%E2%80%9D+OR+%E2%80%9Ccarbon%2Aseparat%2A%E2%80%9D+OR+%E2%80%9CCO2+separat%2A%E2%80%9D+OR+%E2%80%9Ccaptur%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Ccaptur%2A+CO2%E2%80%9D+OR+%E2%80%9Cseparat%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Cabsorb%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Ccompress%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Ccarbon%2Aabsor%2A%E2%80%9D+OR+%E2%80%9CCO2+absor%2A%E2%80%9D+OR+%E2%80%9Ccarbon%2Acompress%2A%E2%80%9D+OR+%E2%80%9CCO2+compress%2A%E2%80%9D+OR+%28%28%E2%80%9Csolvent+regenerat%2A%E2%80%9D+OR+%E2%80%9Csolvent+recover%2A%E2%80%9D%29+AND+%E2%80%9Ccarbon%E2%80%9D%29%29+%28%E2%80%9Ccarbon+storage%E2%80%9D+OR+%E2%80%9Ccarbon+sequest%2A%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Astorage%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Asequest%2A%E2%80%9D+OR+%E2%80%9CCO2+storage%E2%80%9D+OR+%E2%80%9CCO2+sequest%2A%E2%80%9D+OR+%E2%80%9Ccarbon+utiliz%2A%E2%80%9D+OR+%E2%80%9Ccarbon+utilis%2A%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2A+utiliz%2A%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2A+utilis%2A%E2%80%9D+OR+%E2%80%9CCO2+utiliz%2A%E2%80%9D+OR+%E2%80%9CCO2+utilis%2A%E2%80%9D+OR+%E2%80%9Ccarboniz%2A+utiliz%2A%E2%80%9D+OR+%E2%80%9Ccarbonis%2A+utilis%2A%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Ainject%2A%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Ainject%2A%E2%80%9D+OR+%28%28%E2%80%9Cleakage%E2%80%9D+OR+%E2%80%9Cmonitor%2A%22%29+AND+%28%22carbon+dioxide%E2%80%9D%29+AND+%28%22storage%22+OR+%22sequest%2A%22%29%29+OR+%E2%80%9Csequest%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Cinject%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Cutiliz%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Cutilis%2A+carbon+dioxide%E2%80%9D%29%29&before=priority:20230731&after=priority:20130101&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11668266-B2,"Total recycling system of capturing, conversion and utilization of flue gas from factory, power plant and refinery ",Weining Song,Weining Song,2017-11-29,2020-05-29,2023-06-06,2023-06-06,https://patents.google.com/patent/US11668266B2/en,https://patentimages.storage.googleapis.com/28/23/a7/457b33afd32321/US11668266-20230606-D00000.png
JP-2023075078-A,A building system for the cascading flow of matter and energy ,ハンス メルシャイマー，ケビン,ハンス メルシャイマー，ケビン,2013-08-22,2023-02-03,2023-05-30,,https://patents.google.com/patent/JP2023075078A/en,https://patentimages.storage.googleapis.com/ad/05/40/448d9c1990506e/2023075078000002.png
CA-2917738-C,Flexibly operable power plant and method for the operation thereof ,"Mitsubishi Hitachi Power Systems Europe Gmbh, Christian Bergins, Torsten Buddenberg, Efthymia-Ioanna KOYTSOUMPA, Mitsubishi Power Europe Gmbh","Christian Bergins, Torsten Buddenberg, Efthymia-Ioanna KOYTSOUMPA",2013-07-09,2014-07-08,2021-04-06,2021-04-06,https://patents.google.com/patent/CA2917738C/en,
CN-107152267-B,A kind of experimental rig and method for simulating coal original position underground gasification ,山东科技大学,"辛林, 程卫民, 王刚, 谢军, 周刚, 刘震, 于岩斌",2017-06-26,2017-06-26,2019-05-14,2019-05-14,https://patents.google.com/patent/CN107152267B/en,
US-11614003-B2,"Combined cooling, heating and power system ",Shandong University,"Jitian HAN, Yang Liu, Huailiang YOU, Lian Duan, Li Shao, Changnian CHEN, Zeting YU",2018-02-28,2018-11-26,2023-03-28,2023-03-28,https://patents.google.com/patent/US11614003B2/en,https://patentimages.storage.googleapis.com/fb/ba/f0/ddf75aa25c8d0f/US11614003-20230328-D00000.png
CN-105023621-B,The implementation and its nuclear reactor of fast heap-type coupling nuclear reaction ,陈安海,"陈安海, 陈邦才, 陈昆",2015-06-12,2015-06-12,2017-11-10,2017-11-10,https://patents.google.com/patent/CN105023621B/en,
US-2020038803-A1,Regeneration system for carbon-rich amine solutions and method for using the same ,University Of Science And Technology Of China,"Tongwen Xu, Chenxiao JIANG, Xia Chen, Rongqiang Fu, Zhaoming LIU",2018-08-02,2019-01-29,2020-02-06,,https://patents.google.com/patent/US20200038803A1/en,https://patentimages.storage.googleapis.com/f6/75/6d/fd1fd1c6dcab5f/US20200038803A1-20200206-D00000.png
EP-3678245-A1,Hydrated magnesium hydride energy system ,"Shanghai Covapor Energy Technology Co., Ltd",Peng JIA,2017-11-14,2018-11-13,2020-07-08,,https://patents.google.com/patent/EP3678245A1/en,https://patentimages.storage.googleapis.com/05/aa/5a/ecbe0334b60ca4/imgf0001.png
US-9562472-B2,Oxygen transport membrane reactor based method and system for generating electric power ,"Praxair Technology, Inc.","Sean M. Kelly, Shrikar Chakravarti, Juan Li",2014-02-12,2015-02-11,2017-02-07,2017-02-07,https://patents.google.com/patent/US9562472B2/en,https://patentimages.storage.googleapis.com/54/06/fb/a5aeb606f66654/US09562472-20170207-D00000.png
CN-106915235-B,A kind of efficient hydrogen source automobile dynamic system of cleaning ambient air ,石家庄新华能源环保科技股份有限公司,贾会平,2017-02-28,2017-02-28,2019-03-26,2019-03-26,https://patents.google.com/patent/CN106915235B/en,
AU-2017229289-B2,Method and device for the electrochemical utilization of carbon dioxide ,Siemens Energy Global GmbH & Co. KG,"Manfred Baldauf, Marc Hanebuth, Katharina Stark",2016-03-10,2017-01-25,2019-05-23,2019-05-23,https://patents.google.com/patent/AU2017229289B2/en,
CN-106457138-B,Use the carbon dioxide capture device and method of spontaneous energy device ,韩国能源技术研究院,"尹汝一, 金韩基, 南盛赞, 金灿洙, 朴垶烈, 丁湳条, 金荣恩",2014-03-07,2015-02-25,2019-07-12,2019-07-12,https://patents.google.com/patent/CN106457138B/en,
US-2019390158-A1,"Microbial Conversion of CO2 and Other C1 Substrates to Vegan Nutrients, Fertilizers, Biostimulants, and Systems for Accelerated Soil Carbon Sequestration ","Kiverdi, Inc.","lisa Dyson, John Reed, Jil Geller, Sonali Hande",2017-02-03,2018-02-04,2019-12-26,,https://patents.google.com/patent/US20190390158A1/en,https://patentimages.storage.googleapis.com/43/11/ea/330324bfd26da5/US20190390158A1-20191226-D00000.png
US-9283512-B2,Adsorbent having utility for CO2 capture from gas mixtures ,"Entegris, Inc.","J. Donald Carruthers, Melissa A. Petruska, Shaun M. Wilson, Edward A. Sturm",2013-04-05,2015-08-24,2016-03-15,2016-03-15,https://patents.google.com/patent/US9283512B2/en,https://patentimages.storage.googleapis.com/c1/b9/bf/7e7949e52f3f93/US09283512-20160315-D00000.png
CN-107056659-B,A kind of method of high yield circulation production taurine ,潜江永安药业股份有限公司,"陈勇, 方锡权, 李少波",2017-06-16,2017-06-16,2019-06-18,2019-06-18,https://patents.google.com/patent/CN107056659B/en,
US-10150926-B2,Configurations and methods of flexible CO2 removal ,Fluor Technologies Corporation,John Mak,2013-12-12,2018-02-21,2018-12-11,2018-12-11,https://patents.google.com/patent/US10150926B2/en,https://patentimages.storage.googleapis.com/e0/4f/b0/9e919f46e5f16f/US10150926-20181211-D00000.png
CN-109363969-B,Comprehensive utilization method of effective components of wormwood ,广东暨晴生物医药科技有限公司,"黄建香, 林泽斌, 李�杰, 余平, 孙泽涛",2018-10-08,2018-10-08,2021-09-17,2021-09-17,https://patents.google.com/patent/CN109363969B/en,https://patentimages.storage.googleapis.com/24/ef/88/7e49b21816d7ff/181008101206.png
US-2019308880-A1,Three-dimensional (3d) printing of graphene materials ,William Marsh Rice University,"James M. Tour, Junwei Sha, Yilun Li, Jordan Miller, Ian Kinstlinger, Savannah Cofer, Yieu Chyan",2016-07-12,2017-07-12,2019-10-10,,https://patents.google.com/patent/US20190308880A1/en,https://patentimages.storage.googleapis.com/b4/25/21/99fbadc460626f/US20190308880A1-20191010-D00000.png
CA-2911164-C,Production of phosphate compounds from materials containing phosphorus and at least one of iron and aluminium ,"Easymining Sweden Ab, Yariv Cohen, Patrik Enfalt","Yariv Cohen, Patrik Enfalt",2013-05-02,2014-05-02,2022-08-30,2022-08-30,https://patents.google.com/patent/CA2911164C/en,
CN-105428745-B,A kind of innoxious comprehensive reutilization method of applying waste lithium ionic power battery ,北京赛德美资源再利用研究院有限公司,"李荐, 周宏明, 程磊",2015-11-30,2015-11-30,2018-08-14,2018-08-14,https://patents.google.com/patent/CN105428745B/en,
CN-105535111-B,Numb medicinal extract of a kind of fire rich in cannabidiol and preparation method thereof ,山西汉麻生物科技有限公司,朱元庄,2016-02-16,2016-02-16,2019-06-28,2019-06-28,https://patents.google.com/patent/CN105535111B/en,
CN-104296762-B,The method that power for optimizing vehicle uses ,沃尔沃汽车公司,"J·L·恩曼, R·阿维德松",2013-07-17,2014-07-10,2019-04-09,2019-04-09,https://patents.google.com/patent/CN104296762B/en,
AU-2021203741-A1,Methods for activating T cells using an inducible chimeric polypeptide ,"Bellicum Pharmaceuticals, Inc.","Matthew Robert Collinson-Pautz, Aaron Edward Foster, Kevin Slawin, David Spencer",2014-02-14,2021-06-07,2021-07-01,,https://patents.google.com/patent/AU2021203741A1/en,
CN-113167531-B,Oxy-fuel clinker production without preheater exhaust gas recirculation ,蒂森克虏伯工业解决方案股份公司,"约斯特·莱姆克, 艾克·维尔姆斯",2018-04-30,2019-04-26,2023-05-05,2023-05-05,https://patents.google.com/patent/CN113167531B/en,https://patentimages.storage.googleapis.com/89/4a/f3/2b0cee6d0d3145/HDA0002753691480000011.png
US-10526714-B2,Method and device for using CO2 mineralization to produce sodium bicarbonate or sodium carbonate and output electric energy ,Sichuan University,"Heping XIE, Yifei Wang, Tao Liu, Jinlong Wang",2014-07-07,2015-06-03,2020-01-07,2020-01-07,https://patents.google.com/patent/US10526714B2/en,https://patentimages.storage.googleapis.com/f9/4b/de/a0ac0a4ef1a514/US10526714-20200107-D00000.png
CN-106910889-B,A method of regenerating positive active material from waste lithium iron phosphate battery ,中南大学,"方静, 杨声海, 刘文文, 赖延清, 张治安, 洪波, 张凯, 李劼",2017-02-27,2017-02-27,2019-07-23,2019-07-23,https://patents.google.com/patent/CN106910889B/en,
US-10183885-B2,Laser cut composite glass article and method of cutting ,Corning Incorporated,"Dana Craig Bookbinder, Stephan Lvovich Logunov, Sasha Marjanovic, Albert Roth Nieber, Garrett Andrew Piech, Kamjula Pattabhirami Reddy, Pushkar Tandon, Sergio Tsuda, Natesan Venkataraman, Robert Stephen Wagner",2013-12-17,2017-04-25,2019-01-22,2019-01-22,https://patents.google.com/patent/US10183885B2/en,https://patentimages.storage.googleapis.com/ee/9d/81/1fee4cdf5ee52c/US10183885-20190122-D00000.png
US-10233112-B2,Laser processing of slots and holes ,Corning Incorporated,"Thomas Hackert, Sasha Marjanovic, Garrett Andrew Piech, Sergio Tsuda, Robert Stephen Wagner",2013-12-17,2016-08-30,2019-03-19,2019-03-19,https://patents.google.com/patent/US10233112B2/en,https://patentimages.storage.googleapis.com/15/cf/29/ccd3bc482a8121/US10233112-20190319-D00000.png
US-10196327-B2,Production of at least 1-hexene and octene from ethene ,Evonik Degussa Gmbh,"Guido Stochniol, Helene REEKER, Dietrich Maschmeyer, Stephan Peitz, Jörg Schallenberg",2016-07-08,2017-06-15,2019-02-05,2019-02-05,https://patents.google.com/patent/US10196327B2/en,https://patentimages.storage.googleapis.com/1c/e4/7e/793bcc9e7224f0/US10196327-20190205-D00000.png
US-10494728-B2,Process for producing CO from CO2 in a solid oxide electrolysis cell ,Haldor Topsoe A/S,"Niklas Bengt Jakobsson, Claus Friis Pedersen, John Bøgild Hansen",2013-03-26,2013-03-26,2019-12-03,2019-12-03,https://patents.google.com/patent/US10494728B2/en,https://patentimages.storage.googleapis.com/d7/66/36/f65523bb9225f8/US10494728-20191203-D00000.png
US-10392290-B2,Processing 3D shaped transparent brittle substrate ,Corning Incorporated,"Sasha Marjanovic, Albert Roth Nieber, Garrett Andrew Piech, Sergio Tsuda, Robert Stephen Wagner",2013-12-17,2017-07-28,2019-08-27,2019-08-27,https://patents.google.com/patent/US10392290B2/en,https://patentimages.storage.googleapis.com/88/8e/21/f055b84e72cbd2/US10392290-20190827-D00000.png
CN-110343859-B,"Treatment process for extracting precious elements, base elements and rare elements ",生物地带有限公司,"凯斯·斯图尔特·利德尔, 丽莎·安妮·史密斯, 迈克尔·大卫·亚当斯",2014-11-26,2015-11-25,2022-03-08,2022-03-08,https://patents.google.com/patent/CN110343859B/en,https://patentimages.storage.googleapis.com/fa/e4/bf/f490b42d44dcbc/HDA0002096264090000011.png
US-9477214-B2,Plant control systems and methods ,General Electric Company,"Awadesh Kumar Tiwari, Mahesh Kumar Asati, Raub Warfield Smith, Achalesh Kumar Pandey",2013-03-07,2013-03-07,2016-10-25,2016-10-25,https://patents.google.com/patent/US9477214B2/en,https://patentimages.storage.googleapis.com/aa/3a/d1/67d55b2ed7cb1a/US09477214-20161025-D00000.png
CN-105174766-B,Method for reinforcing recycled concrete fine aggregate by using carbon dioxide ,"东南大学, 镇江建科建设科技有限公司","潘钢华, 陆小军, 付明华",2015-07-07,2015-09-15,2017-05-10,2017-05-10,https://patents.google.com/patent/CN105174766B/en,
CN-108960503-B,Multi-scene optimization analysis method of comprehensive energy system based on interior point method ,河海大学,"孙永辉, 钟永洁, 翟苏巍, 王加强, 吕欣欣",2018-07-02,2018-07-02,2021-08-31,2021-08-31,https://patents.google.com/patent/CN108960503B/en,https://patentimages.storage.googleapis.com/47/b9/6a/91a17d60c81072/HDA0001715269860000011.png
US-2022274063-A1,Wind-Powered Direct Air Carbon Dioxide Capture Device for Ocean Sequestration ,Dehlsen Associates Of The Pacific Limited,James Dehlsen,2017-09-22,2022-02-04,2022-09-01,,https://patents.google.com/patent/US20220274063A1/en,https://patentimages.storage.googleapis.com/0b/b9/9c/0afa921c98c2ee/US20220274063A1-20220901-D00000.png
US-11208872-B2,CCUS (carbon capture utilization and storage) system for exploiting thickened oil reservoirs based on optimal flue gas CO2 enrichment ratio and working method thereof ,China University Of Petroleum,"Chao Zhang, Zhaomin LI, Jianlin Liu, Dongya ZHAO, Teng Lu, Shouya WU, Longjiang GUO",2017-09-25,2018-08-03,2021-12-28,2021-12-28,https://patents.google.com/patent/US11208872B2/en,https://patentimages.storage.googleapis.com/c5/f2/3f/596a03bb71cc92/US11208872-20211228-D00000.png
AU-2015364268-B2,Method and apparatus for CO2 sequestration ,"California Institute Of Technology, University Of Southern California, Yissum Research Development Company Of The Hebrew University Of Jerusalem Ltd.","Jess Firey ADKINS, William BERELSON, Jonathan EREZ, Nick Everett Rollins, Adam Vinay SUBHAS",2014-12-18,2015-12-18,2020-11-05,2020-11-05,https://patents.google.com/patent/AU2015364268B2/en,
CN-103372371-B,System device for carbon capture through solar organic Rankine cycle auxiliary coal-fired power generation ,天津大学,"赵力, 谭雨亭",2013-07-04,2013-07-04,2015-07-08,2015-07-08,https://patents.google.com/patent/CN103372371B/en,
US-10670334-B2,Highly cost effective technology for capture of industrial emissions without reagent for clean energy and clean environment applications ,"Dilip Kumar De, Sustainable Green Power Industries","Dilip Kumar De, Idowu Ayodele Oduniyi",2017-12-01,2018-03-07,2020-06-02,2020-06-02,https://patents.google.com/patent/US10670334B2/en,https://patentimages.storage.googleapis.com/d2/9e/53/f2f0767322f16c/US10670334-20200602-D00000.png
US-10856470-B2,Fluid-cooled LED-based lighting methods and apparatus for controlled environment agriculture ,"Agnetix, Inc.","Ihor Lys, Nicholas Maderas",2017-09-19,2020-03-19,2020-12-08,2020-12-08,https://patents.google.com/patent/US10856470B2/en,https://patentimages.storage.googleapis.com/43/98/bd/32c6e19dfa5d4e/US10856470-20201208-D00000.png
CA-2936903-C,Process and catalyst system for the production of high quality syngas from light hydrocarbons and carbon dioxide ,"Greyrock Energy, Inc., Robert Schuetzle, Dennis Schuetzle, Greyrock Technology, Llc, Carbon Recycling Solutions, Llc, Infinium Technology, Llc","Robert Schuetzle, Dennis Schuetzle",2013-07-22,2014-07-16,2018-03-06,2018-03-06,https://patents.google.com/patent/CA2936903C/en,
WO-2023097943-A1,Nitrogen-free combustion and carbon dioxide capture and utilization process for gas-fired boiler ,上海源晗能源技术有限公司,"张香全, 吴文军, 张云峰",2021-12-03,2022-04-12,2023-06-08,,https://patents.google.com/patent/WO2023097943A1/en,https://patentimages.storage.googleapis.com/08/48/e7/bb811401d61c2c/WO-DOC-FIGURE-1.png
CN-103233709-A,"Super heavy oil deposit exploiting carbon capture, utilization and storage (CCUS) system and method based on CO2 assisted steam assisted gravity drainage (SAGD) ",中国石油大学(华东),"李兆敏, 张超, 鹿腾, 薛兴昌, 衣怀峰, 马春元, 杨肖曦",2013-05-13,2013-05-13,2013-08-07,,https://patents.google.com/patent/CN103233709A/en,https://patentimages.storage.googleapis.com/6c/e5/12/a044f211804a43/HDA00003182058500011.png
US-10688686-B2,Simultaneous cement enhancement and carbon dioxide utilization by mounting a carbon dioxide capture system onboard a concrete mixer vehicle ,Saudi Arabian Oil Company,"Bandar FADHEL, Ahmad D. HAMMAD, Issam T. Amr, Rami A. Bamagain",2017-12-01,2017-12-01,2020-06-23,2020-06-23,https://patents.google.com/patent/US10688686B2/en,https://patentimages.storage.googleapis.com/19/e9/18/620570db039a77/US10688686-20200623-D00000.png
US-2017284666-A1,Sulphur-assisted carbon capture and storage (CCS) processes and systems ,Bogdan Wojak,Bogdan Wojak,2013-01-30,2017-06-16,2017-10-05,,https://patents.google.com/patent/US20170284666A1/en,https://patentimages.storage.googleapis.com/64/6d/3f/c09c1f83a8bb49/US20170284666A1-20171005-D00000.png
CA-3017799-A1,"Microorganisms and artificial ecosystems for the production of protein, food, and useful co-products from c1 substrates ","Kiverdi, Inc., John S. Reed, Jil GELLER, Sonali HANDE","John S. Reed, Jil GELLER, Sonali HANDE",2016-03-19,2017-03-18,2017-09-28,,https://patents.google.com/patent/CA3017799A1/en,
US-2016045841-A1,New and improved system for processing various chemicals and materials ,"Transtar Group, Ltd.","Allen KAPLAN, Randall BRADLEY",2013-03-15,2014-05-15,2016-02-18,,https://patents.google.com/patent/US20160045841A1/en,https://patentimages.storage.googleapis.com/9a/4a/d9/bf7fc585a05bc2/US20160045841A1-20160218-D00000.png
WO-2017160511-A1,Integrated operation of molten carbonate fuel cells ,Exxonmobil Research And Engineering Company,"Paul J. Berlowitz, Timothy A. BARCKHOLTZ, Sandipan K. DAS",2016-03-17,2017-03-03,2017-09-21,,https://patents.google.com/patent/WO2017160511A1/en,
DK-3074180-T3,DEVICE FOR MANUFACTURING THE CO2 PELLET OF CO2 SNOW AND CLEANING DEVICE ,Kaercher Gmbh & Co Kg Alfred,"Yunus Demirtas, Dieter Plachke, Andreas Kruner, Markus Weller, Andreas Krauter, Rene Klink",2013-11-29,2014-11-28,2018-04-16,2018-04-16,https://patents.google.com/patent/DK3074180T3/en,
CN-205073460-U,Novel open -air rescue anesthesia machine ,刘树海,"刘树海, 张月艳",2015-10-13,2015-10-13,2016-03-09,2016-03-09,https://patents.google.com/patent/CN205073460U/en,
CN-106757915-B,"A kind of cylinder yarn non-aqueous dyeing equipment, colouring method and product ",青岛即发集团股份有限公司,"王健, 杨为东, 万刚, 刘崇波, 刘绍冰, 林大鹏",2016-12-02,2016-12-02,2019-03-26,2019-03-26,https://patents.google.com/patent/CN106757915B/en,
